Year,Trade type,State,Merchandise,Partner country,Geographic level 1,Geographic level 2,Geographic level 3,Sector,Expenditure in thousands
2016,Total Exports,New South Wales," Nails, screws, nuts, bolts & rivets",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,9.769
2016,Total Exports,New South Wales," Nails, screws, nuts, bolts & rivets",Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,39.98
2016,Total Exports,New South Wales, Hand or machine tools,Lebanon,Asia,Middle East,Other Middle East,Manufactures,3.39
2016,Total Exports,New South Wales, Hand or machine tools,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,21.257
2016,Total Exports,New South Wales, Hand or machine tools,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,3.6
2016,Total Exports,New South Wales," Household equip of base metal, nes",Lebanon,Asia,Middle East,Other Middle East,Manufactures,6.727
2016,Total Exports,New South Wales," Household equip of base metal, nes",Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,20
2016,Total Exports,New South Wales," Manufactures of base metal, nes",Lebanon,Asia,Middle East,Other Middle East,Manufactures,0.081
2016,Total Exports,New South Wales," Manufactures of base metal, nes",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,10.713
2016,Total Exports,New South Wales," Manufactures of base metal, nes",Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,50.593
2016,Total Exports,New South Wales, Internal combustion piston engines,Lebanon,Asia,Middle East,Other Middle East,Manufactures,35.671
2016,Total Exports,New South Wales, Internal combustion piston engines,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,13.22
2016,Total Exports,New South Wales, Non-electric engines & motors,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,2.8
2016,Total Exports,New South Wales, Rotating electric plant & parts,Lebanon,Asia,Middle East,Other Middle East,Manufactures,257.228
2016,Total Exports,New South Wales, Rotating electric plant & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,5.17
2016,Total Exports,New South Wales, Power generating machinery & parts,Lebanon,Asia,Middle East,Other Middle East,Manufactures,21.2
2016,Total Exports,New South Wales, Power generating machinery & parts,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,8.5
2016,Total Exports,New South Wales, Power generating machinery & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,81.662
2016,Total Exports,New South Wales, Agric machinery (excl tractors) & parts,Lebanon,Asia,Middle East,Other Middle East,Manufactures,5.126
2016,Total Exports,New South Wales, Agric machinery (excl tractors) & parts,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,13.236
2016,Total Exports,New South Wales, Agric machinery (excl tractors) & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,40.737
2016,Total Exports,New South Wales, Tractors,Lebanon,Asia,Middle East,Other Middle East,Manufactures,18
2016,Total Exports,New South Wales, Civil engineering equipment & parts,Lebanon,Asia,Middle East,Other Middle East,Manufactures,14.85
2016,Total Exports,New South Wales, Civil engineering equipment & parts,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,234.757
2016,Total Exports,New South Wales, Civil engineering equipment & parts,Northern Mariana Islands,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,107
2016,Total Exports,New South Wales, Textile & leather machinery & parts,Lebanon,Asia,Middle East,Other Middle East,Manufactures,0.3
2016,Total Exports,New South Wales, Paper & pulp mill machinery & parts,Lebanon,Asia,Middle East,Other Middle East,Manufactures,3.487
2016,Total Exports,New South Wales, Food processing machines & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,49.464
2016,Total Exports,New South Wales, Specialised machinery & parts,Lebanon,Asia,Middle East,Other Middle East,Manufactures,42.491
2016,Total Exports,New South Wales, Specialised machinery & parts,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,7.579
2016,Total Exports,New South Wales, Specialised machinery & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,51.467
2016,Total Exports,New South Wales, Machine tools for removing metal,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,7.7
2016,Total Exports,New South Wales, Machine tools for removing metal,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,32.5
2016,Total Exports,New South Wales, Machine tools for working metal,Lebanon,Asia,Middle East,Other Middle East,Manufactures,12
2016,Total Exports,New South Wales, Metalworking machinery & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,46.5
2016,Total Exports,New South Wales, Heating & cooling equipment & parts,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,30.699
2016,Total Exports,New South Wales, Heating & cooling equipment & parts,Northern Mariana Islands,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,23.614
2016,Total Exports,New South Wales, Heating & cooling equipment & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,91.545
2016,Total Exports,New South Wales, Pumps for liquids & parts,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,9.23
2016,Total Exports,New South Wales, Pumps for liquids & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,39.5
2016,Total Exports,New South Wales, Pumps (excl liquid pumps) & parts,Lebanon,Asia,Middle East,Other Middle East,Manufactures,12.259
2016,Total Exports,New South Wales, Pumps (excl liquid pumps) & parts,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,65
2016,Total Exports,New South Wales, Pumps (excl liquid pumps) & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,751.663
2016,Total Exports,New South Wales, Mechanical handling equip & parts,Lebanon,Asia,Middle East,Other Middle East,Manufactures,40.71
2016,Total Exports,New South Wales, Mechanical handling equip & parts,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,117.211
2016,Total Exports,New South Wales, Mechanical handling equip & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,21.764
2016,Total Exports,New South Wales, Non-electrical machinery & parts,Lebanon,Asia,Middle East,Other Middle East,Manufactures,31.3
2016,Total Exports,New South Wales, Non-electrical machinery & parts,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,2.098
2016,Total Exports,New South Wales, Ball or roller bearings,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,27.354
2016,Total Exports,New South Wales," Taps, cocks & valves",Lebanon,Asia,Middle East,Other Middle East,Manufactures,0.07
2016,Total Exports,New South Wales, Transmission shafts & parts,Lebanon,Asia,Middle East,Other Middle East,Manufactures,0.77
2016,Total Exports,New South Wales, Transmission shafts & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,178.796
2016,Total Exports,New South Wales, Non-electric parts for machinery,Lebanon,Asia,Middle East,Other Middle East,Manufactures,8.19
2016,Total Exports,New South Wales, Non-electric parts for machinery,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,4.567
2016,Total Exports,New South Wales, Office machines,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,10.135
2016,Total Exports,New South Wales, Computers,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,74.621
2016,Total Exports,New South Wales, Computers,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,17.068
2016,Total Exports,New South Wales, Computer parts & accessories,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,8
2016,Total Exports,New South Wales," Monitors, projectors & TVs",Lebanon,Asia,Middle East,Other Middle East,Manufactures,0.6
2016,Total Exports,New South Wales," Monitors, projectors & TVs",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,11.978
